,movie,production_budget,domestic_gross,worldwide_gross,studio,original_language,popularity,release_date,vote_average,vote_count
0,Pirates of the Caribbean: On Stranger Tides,410.6,241.063875,1045.663875,BV,en,30.579,2011-05-20,6.4,8571
1,Avengers: Age of Ultron,330.6,459.005868,1403.013963,BV,en,44.383,2015-05-01,7.3,13457
2,Avengers: Infinity War,300.0,678.815482,2048.1342,BV,en,80.773,2018-04-27,8.3,13948
3,Justice League,300.0,229.024295,655.945209,WB,en,34.953,2017-11-17,6.2,7510
4,Spectre,300.0,200.074175,879.620923,Sony,en,30.318,2015-11-06,6.4,6719
5,The Dark Knight Rises,275.0,448.139099,1084.439099,WB,en,26.22,2012-07-20,7.7,13933
6,Solo: A Star Wars Story,275.0,213.767512,393.151347,BV,en,29.502,2018-05-25,6.6,3838
7,The Lone Ranger,275.0,89.302115,260.002115,BV,en,12.482000000000001,2013-07-03,6.0,3789
8,John Carter,275.0,73.058679,282.7781,BV,en,18.549,2012-03-09,6.1,3338
9,Tangled,260.0,200.821936,586.47724,BV,en,21.511,2010-11-24,7.5,6407
10,Captain America: Civil War,250.0,408.084349,1140.069413,BV,en,39.137,2016-05-06,7.4,14000
11,Batman v Superman: Dawn of Justice,250.0,330.360194,867.500281,WB,en,28.088,2016-03-25,5.8,11991
12,The Hobbit: An Unexpected Journey,250.0,303.003568,1017.003568,WB (NL),en,26.939,2012-12-14,7.2,12076
13,The Hobbit: The Desolation of Smaug,250.0,258.366855,960.366855,WB (NL),en,21.275,2013-12-13,7.6,7739
14,The Hobbit: The Battle of the Five Armies,250.0,255.119788,945.577621,WB (NL),en,53.783,2014-12-17,7.3,8392
15,The Fate of the Furious,250.0,225.764765,1234.846267,Uni.,en,28.668000000000003,2017-04-14,6.9,6335
16,Pirates of the Caribbean: Dead Men Tell No Tales,230.0,172.558876,788.241137,BV,en,28.101,2017-05-26,6.6,6931
17,Man of Steel,225.0,291.045518,667.999518,WB,en,27.666999999999998,2013-06-14,6.5,9758
18,The Amazing Spider-Man,220.0,262.030663,757.890267,Sony,en,24.391,2012-07-04,6.5,10411
19,Battleship,220.0,65.2334,313.477717,Uni.,en,21.741999999999997,2012-05-18,5.6,3240
20,Transformers: The Last Knight,217.0,130.168683,602.89334,Par.,en,24.258000000000003,2017-06-21,6.0,3255
21,Jurassic World,215.0,652.270625,1648.854864,Uni.,en,20.709,2015-06-12,6.6,14056
22,Transformers: Age of Extinction,210.0,245.439076,1104.039076,Par.,en,20.961,2014-06-27,5.8,4805
23,Robin Hood,210.0,105.487148,322.459006,Uni.,en,15.444,2010-05-14,6.3,2569
24,Robin Hood,210.0,105.487148,322.459006,Uni.,en,39.975,2018-11-21,5.8,1194
27,Black Panther,200.0,700.059566,1348.258224,BV,en,2.0580000000000003,2011-01-18,5.1,11
28,Black Panther,200.0,700.059566,1348.258224,BV,en,44.14,2018-02-16,7.4,12365
29,Incredibles 2,200.0,608.581744,1242.520711,BV,en,36.286,2018-06-15,7.6,6354
30,Rogue One: A Star Wars Story,200.0,532.177324,1049.102856,BV,en,21.401,2016-12-16,7.5,9296
31,Finding Dory,200.0,486.295561,1021.215193,BV,en,15.392999999999999,2016-06-17,7.0,7845
32,Toy Story 3,200.0,415.00488,1068.879522,BV,en,24.445,2010-06-17,7.7,8340
33,Iron Man 3,200.0,408.992272,1215.392272,BV,en,32.093,2013-05-03,6.9,14155
34,Skyfall,200.0,304.360277,1110.526981,Sony,en,19.27,2012-11-09,7.1,10441
35,Monsters University,200.0,268.488329,743.588329,BV,en,20.33,2013-06-21,7.0,6362
36,X-Men: Days of Future Past,200.0,233.921534,747.862775,Fox,en,41.867,2014-05-23,7.5,10062
37,The Amazing Spider-Man 2,200.0,202.853933,708.996336,Sony,en,20.846999999999998,2014-05-02,6.4,7220
38,Cars 2,200.0,191.450875,560.155383,BV,en,23.498,2011-06-16,5.9,4058
39,Fantastic Beasts: The Crimes of Grindelwald,200.0,159.555901,652.220086,WB,en,48.508,2018-11-16,6.9,4870
40,Green Lantern,200.0,116.601172,219.535492,WB,en,17.257,2011-06-17,5.1,4290
41,Transformers: Dark of the Moon,195.0,352.390543,1123.790543,P/DW,en,5.3389999999999995,2011-06-28,6.1,4961
42,Jack the Giant Slayer,195.0,65.187603,197.687603,WB (NL),en,12.773,2013-03-01,5.6,3403
43,Furious 7,190.0,353.00702,1518.722794,Uni.,en,20.396,2015-04-03,7.3,6538
44,Star Trek Into Darkness,190.0,228.778661,467.381584,Par.,en,20.487,2013-05-16,7.4,6182
45,World War Z,190.0,202.359711,531.51465,Par.,en,14.582,2013-06-21,6.7,9132
46,Pacific Rim,190.0,101.802906,411.002906,WB,en,16.759,2013-07-12,6.8,7632
47,The Good Dinosaur,187.5,123.08712,333.771037,BV,en,17.675,2015-11-25,6.7,3135
48,Brave,185.0,237.282182,554.606532,BV,en,18.908,2012-06-22,6.9,8116
49,Kong: Skull Island,185.0,168.052812,561.072059,WB,en,29.388,2017-03-10,6.3,6054
